geoid,ctblockgroup,centroid_lon,centroid_lat,medhinc_cy,avghinc_cy,gini_fy,totpop_cy,n01_bus,s23_emp,n37_sales
060730001001,1001,6274888.296600725,1855449.4047618492,177856,241985,23.9,1198,30.0,91.0,169.0
060730001002,1002,6273187.524994185,1854675.2357211807,200001,245848,21.9,1700,59.0,195.0,12628.0
060730002011,2011,6277261.430401366,1855577.7701044246,126652,160491,31.7,907,82.0,345.0,1080.0
060730002012,2012,6278440.443768031,1854936.5367415836,86349,128289,39.1,1114,154.0,333.0,3819.0
060730002021,2021,6276523.973587807,1851714.097421614,58414,130994,45.3,1281,64.0,100.0,14428.0
060730002022,2022,6275966.648947617,1853054.717042159,126741,160824,25.6,914,25.0,94.0,1123.0
060730002023,2023,6278928.790472667,1852212.2469576725,100762,119431,29.3,1247,57.0,98.0,2262.0
060730002024,2024,6277939.573179197,1852060.0486516862,101837,139039,29.3,963,25.0,104.0,0.0
060730003011,3011,6279811.603767966,1852940.9872979193,95115,149592,33.1,571,25.0,89.0,169.0
060730003012,3012,6281022.460851908,1852687.410466041,91734,125282,31.9,570,89.0,199.0,4605.0
060730003013,3013,6280135.681217508,1851588.684652386,78011,145456,37.2,997,27.0,82.0,0.0
060730003021,3021,6282145.815851113,1851937.0616407085,69690,133177,41.0,2085,395.0,1399.0,22801.0
060730003022,3022,6281005.98657935,1851351.7943002114,93403,139805,31.3,1005,65.0,364.0,618.0
060730004001,4001,6281734.566086746,1853773.59026826,84724,129868,34.0,908,315.0,1728.0,24788.0
060730004002,4002,6280007.502418862,1855409.6444859668,82928,138133,34.2,967,72.0,7427.0,3097.0
060730004003,4003,6281095.049526964,1854527.3658735594,81250,108416,35.4,917,215.0,539.0,2358.0
060730004004,4004,6281494.459657731,1855722.3276389178,86712,118767,31.5,1183,52.0,3879.0,0.0
060730005001,5001,6284700.40723003,1858390.4468413454,114548,204837,31.3,959,36.0,47.0,1870.0
060730005002,5002,6283913.195892567,1857033.14700923,102686,120603,32.9,1190,37.0,59.0,3088.0
