name,num_locations,categories,raw_categories
"""El Jefe"" Used Auto Parts",1,Auto parts store,Auto parts store
"""Silk"" The Art of Artificial",1,Artificial plant supplier|Silk plant shop|Wholesale florist,Artificial plant supplier|Silk plant shop|Wholesale florist
"""The Ship"" VFW 1774",1,Veterans organization,Veterans organization
#1 Stop Shop Auto Repair,1,auto_repair|Mechanic,Auto repair shop|Mechanic
"#CarAudioHeavenElite Custom Builds, Window Tint, Vinyl Wrap, Lighting, Vehicle Safety, and Security",1,Car accessories store|Car alarm supplier|Car repair and maintenance|Car security system installer|Car stereo store|Chauffeur service|Window tinting service,Car accessories store|Car alarm supplier|Car repair and maintenance|Car security system installer|Car stereo store|Chauffeur service|Window tinting service
$10 Shoe Store,1,Women's clothing store,Women's clothing store
$2 Car Wash,1,Self service car wash,Self service car wash
'Do Beauty Boutique,1,beauty_salon,Hair salon
(CLOSED) Carlsbad Village Discount Store,1,Discount store,Discount store
(Moved to Los Angeles),4,Breakfast restaurant|Dessert restaurant|Dessert shop|Health food store|Juice shop,Breakfast restaurant|Dessert restaurant|Dessert shop|Health food store|Juice shop
.,1,Car dealer,Car dealer
0 Zone Billiard Cafe,1,coffee_shop|Pool hall,Cafe|Pool hall
07 Auto Repair,1,Air conditioning repair service|auto_repair|Auto spring shop|Auto tune up service|Brake shop,Air conditioning repair service|Auto repair shop|Auto spring shop|Auto tune up service|Brake shop
1 Columbia Place,1,Corporate office,Corporate office
1 Stop Smoke Shop,1,Tobacco shop,Tobacco shop
1 Way Auto Clinic,2,Auto radiator repair service|auto_repair|Auto tune up service|Brake shop|Car repair and maintenance|Diagnostic center|Oil change service|Small engine repair service|Transmission shop|Wheel alignment service,Auto radiator repair service|Auto repair shop|Auto tune up service|Brake shop|Car repair and maintenance|Diagnostic center|Oil change service|Small engine repair service|Transmission shop|Wheel alignment service
1-800 Radiator & A/C-National City,1,Auto body parts supplier|Auto parts store|Car repair and maintenance|Radiator shop,Auto body parts supplier|Auto parts store|Car repair and maintenance|Radiator shop
1-800-Appliance,1,Appliance repair service|Microwave oven repair service|Refrigerator repair service|Washer & dryer repair service,Appliance repair service|Microwave oven repair service|Refrigerator repair service|Washer & dryer repair service
10 Barrel Brewing San Diego,1,Brewery,Brewery
100 Percent Beauty,1,beauty_salon|Waxing hair removal service,Beauty salon|Hair salon|Waxing hair removal service
100 Percent Naturall,1,Supermarket,Supermarket
100 Wines kitchen,1,bar|Brunch restaurant|Eclectic restaurant,Bar|Brunch restaurant|Eclectic restaurant
100% Chiropractic - Rancho Santa Fe,1,Alternative medicine practitioner|Chiropractor|Holistic medicine practitioner|Massage therapist|Pain control clinic|Pain management physician|Perinatal center|Pregnancy care center|Wellness program,Alternative medicine practitioner|Chiropractor|Holistic medicine practitioner|Massage therapist|Pain control clinic|Pain management physician|Perinatal center|Pregnancy care center|Wellness program
100% PURE,1,Cosmetics store,Cosmetics store
