id,name
60,Midtown
55,Linda Vista
284,Eastlake Trails
285,Eastlake Vistas
283,Eastlake Land Swap
286,Eastlake Woods
287,Eastlake Woods West
290,Lynwood Hills
292,Ocean Crest
297,Otay Ranch Village 1
293,Olympic Training Center
295,Otay   Ranch
298,Otay Ranch Village 5
304,San Miguel Ranch
5,Azalea-Hollywood Park
299,Palm City
305,Southwest
365,North Island Naval Air Station
72,Mt. Hope
26,Core-Columbia
13,Border
48,Jomacha-Lomita
364,Marina
97,Roseville - Fleet Ridge
370,Del Mar Heights
95,Ridgeview-Webster
256,Rancho Bernardo
253,Mission Grove
371,North City
252,Los Arboles
259,South Tulip
261,WIN
260,Westside Hillside
451,Egger Highlands
258,San Pasqual
267,Lake Murray
270,San Carlos
380,Encanto
382,Oak Park
377,Bay Terraces
381,Jomacha Lomita
391,Alta Vista
392,Central
379,Terra Nova
378,Paradise Hills
77,North Island Naval Air Station
394,Granger
459,Skyline
458,Jomacha Lomita
328,Barrio
393,Eastside
398,Oldtown
329,Bressi Ranch
327,Aviara
395,Mountain View
399,Olivewood
396,Northside
389,Northwest
332,Hedionda Point
400,Paradise Hills
331,Carlsbad Ranch
414,South Port Bussiness Center
390,Southwest
333,Kelly Ranch
334,La Costa Greens
340,Rancho Carrillo
337,North Beach
339,Poinsettia
342,Robertson Ranch
417,Olde Carlsbad
278,Amphitheater and Water Park
416,Calavera Hills
279,Bella Lago
280,Bonita Long Canyon
320,Golf Course
2,Allied Gardens
4,Amphitheater and Water Park
14,Burlingame
20,Chollas View
19,Chollas Creek
29,Del Cerro
35,Emerald Hills
45,Hillcrest
40,Gaslamp Quarter
42,Grant Hill
38,Fairmount Village
39,Fox Canyon
44,Harborview
46,Horton Plaza
52,La Playa
47,Islenair
66,Mission Beach
300,Paseo Ranchoero
301,Rancho Del Rey I
302,Rancho Del Rey II
307,Sunbow II
308,Terra Nova
306,Sunbow I
326,Village Center
303,Rolling Hills Ranch
254,Old Escondido Historic District
255,Park Place
257,Rustic
251,Hickory
82,Ocean Crest
81,Ocean Beach
105,Sherman Heights
104,Shelltown
109,Southcrest
112,Sunset Cliffs
116,Teralta West
111,Stockton
113,Swan Canyon
338,Olde Carlsbad
336,La Costa Ridge
335,La Costa Oaks
330,Calavera Hills
344,Sunny Creek
341,Rancho La Costa
288,Egger Highlands
343,South Beach
345,Tamarack Point
346,Village
282,East Lake I
281,Eastlake Greens
296,Otay Ranch
294,Otay Mesa West
289,Fenton St
291,Northwest
453,Tijuana River Valley
268,College East
418,Tamarack Point
429,Carmel Mountain
428,Rancho Bernardo
419,Village
432,Sabre Springs
431,Rancho Encantado
9,Bay Park
1,Adams North
12,Black Mountain Ranch
3,Alta Vista
7,Barrio Logan
10,Bay Terraces
6,Balboa Park
8,Bay Ho
11,Bird Land
15,Carmel Mountain
21,Clairemont Mesa East
23,Colina del Sol
17,Castle
24,College East
18,Cherokee Point
22,Clairemont Mesa West
16,Carmel Valley
25,College West
33,Egger Highlands
27,Corridor
30,Del Mar Heights
36,Encanto
28,Cortez Hill
31,East Village
32,Eastside
34,El Cerrito
50,Kensington
37,Fairmount Park
53,Lake Murray
51,La Jolla
49,Kearny Mesa
54,Lincoln Park
41,Golden Hill
43,Grantville
56,Little Italy
62,Mira Mesa
59,Marina
61,Midway District
57,Logan Heights
63,Miramar
64,Miramar Ranch North
58,Loma Portal
70,Morena
69,Mission Valley West
68,Mission Valley East
67,Mission Hills
65,Mission Bay Park
74,Normal Heights
73,Nestor
71,Mountain View
76,North Clairemont
83,Old Town
85,Otay Mesa West
79,Northside
86,Pacific Beach
80,Oak Park
84,Otay Mesa
78,North Park
75,North City
88,Paradise Hills
87,Palm City
91,Rancho Bernardo
90,Point Loma Heights
89,Park West
94,Redwood Village
93,Rancho Penasquitos
92,Rancho Encantado
103,Serra Mesa
96,Rolando
99,San Carlos
106,Skyline
100,San Pasqual
98,Sabre Springs
107,Sorrento Valley
102,Scripps Ranch
101,San Ysidro
110,Southwest
118,Tijuana River Valley
117,Tierrasanta
114,Talmadge
121,Torrey Preserve
120,Torrey Pines
115,Teralta East
108,South Park
119,Torrey Highlands
442,La Costa Ridge
124,Valencia Park
441,La Costa Oaks
443,Rancho La Costa
125,Wooded Area
122,University City
123,University Heights
