id,bg_geoid,ctblockgroup
5,060730197021,197021.0
24,060730054023,54023.0
48,060730083241,83241.0
49,060730083462,83462.0
50,060730173061,173061.0
75,060730083671,83671.0
104,060730184001,184001.0
150,060730161003,161003.0
152,060730184002,184002.0
156,060730178081,178081.0
180,060730039023,39023.0
236,060730215021,215021.0
237,060730083501,83501.0
238,060730215021,215021.0
253,060730009023,9023.0
274,060730016002,16002.0
289,060730100172,100172.0
296,060730075023,75023.0
324,060730096044,96044.0
344,060730101061,101061.0
345,060730068011,68011.0
410,060730175021,175021.0
419,060730030011,30011.0
434,060730065001,65001.0
467,060730083762,83762.0
473,060730170353,170353.0
483,060730085044,85044.0
487,060730198091,198091.0
497,060730065001,65001.0
502,060730144001,144001.0
504,060730144001,144001.0
522,060730072002,72002.0
536,060730110001,110001.0
543,060730218001,218001.0
561,060730170492,170492.0
572,060730171111,171111.0
574,060730179012,179012.0
576,060730127001,127001.0
601,060730029022,29022.0
608,060730065001,65001.0
611,060730181023,181023.0
619,060730083712,83712.0
625,060730015004,15004.0
627,060730044002,44002.0
641,060730083245,83245.0
649,060730018023,18023.0
681,060730170711,170711.0
699,060730207111,207111.0
713,060730035021,35021.0
718,060730089021,89021.0
736,060730058021,58021.0
737,060730082012,82012.0
755,060730044003,44003.0
799,060730200172,200172.0
825,060730221022,221022.0
836,060730178131,178131.0
876,060730085111,85111.0
885,060730060002,60002.0
891,060730061002,61002.0
923,060730082012,82012.0
971,060730054011,54011.0
985,060730134092,134092.0
991,,123021.0
1016,060730058012,58012.0
1023,060730137023,137023.0
1024,060730150022,150022.0
1041,060730076013,76013.0
1042,060730132043,132043.0
1043,060730065001,65001.0
1049,060730079052,79052.0
1051,060730058011,58011.0
1063,060730100152,100152.0
1073,060730200294,200294.0
1076,060730178132,178132.0
1088,060730050001,50001.0
1125,060730083681,83681.0
1152,060730085112,85112.0
1153,060730135032,135032.0
1155,060730023023,23023.0
1172,060730166161,166161.0
1176,060730200192,200192.0
1180,060730048001,48001.0
1185,060730203083,203083.0
1191,060730144002,144002.0
1208,060730166161,166161.0
1223,060730052012,52012.0
1230,060730170682,170682.0
1236,060730170492,170492.0
1239,060730170583,170583.0
1265,060730214013,214013.0
1274,060730198091,198091.0
1324,060730011001,11001.0
1325,060730096034,96034.0
1327,060730029051,29051.0
1332,060730013011,13011.0
1342,060730027034,27034.0
1343,060730018021,18021.0
1357,060730004001,4001.0
1358,060730083803,83803.0
1364,060730221012,221012.0
1367,060730062001,62001.0
1373,060730176061,176061.0
1403,060730100093,100093.0
1406,060730207081,207081.0
1408,060730100152,100152.0
1415,060730065001,65001.0
1428,060730085043,85043.0
1475,060730033012,33012.0
1491,060730170482,170482.0
1525,060730198102,198102.0
1536,060730132051,132051.0
1555,060730056022,56022.0
1567,060730219001,219001.0
1579,060730085111,85111.0
1581,060730175012,175012.0
1591,060730203131,203131.0
1600,060730025022,25022.0
1605,060730175012,175012.0
1637,060730202072,202072.0
1641,060730178132,178132.0
1642,060730161003,161003.0
1646,060730173061,173061.0
1652,060730014001,14001.0
1676,060730205003,205003.0
1696,060730130001,130001.0
1733,060730072002,72002.0
1745,060730053013,53013.0
1788,060730038001,38001.0
1842,060730166141,166141.0
1903,060730099021,99021.0
1906,060730198031,198031.0
1995,060730034031,34031.0
2003,060730085112,85112.0
2008,060730061002,61002.0
2010,060730093071,93071.0
2016,060730170561,170561.0
2017,060730170672,170672.0
2027,060730053021,53021.0
2039,060730166173,166173.0
2042,060730214013,214013.0
2054,060730182023,182023.0
2059,060730034012,34012.0
2077,060730004003,4003.0
2080,060730148033,148033.0
2098,060730062001,62001.0
2104,060730065001,65001.0
2114,060730166061,166061.0
2118,060730191033,191033.0
2132,060730082022,82022.0
2136,060730170224,170224.0
2174,060730134242,134242.0
2176,060730029051,29051.0
2194,060730096034,96034.0
2213,060730087022,87022.0
2238,060730095021,95021.0
2259,060730178132,178132.0
2263,060730083072,83072.0
2267,060730170711,170711.0
2283,060730203101,203101.0
2291,060730008004,8004.0
2319,060730083611,83611.0
2328,060730006003,6003.0
2349,060730075011,75011.0
2369,060730069001,69001.0
2374,060730053012,53012.0
2390,060730079101,79101.0
2396,060730221012,221012.0
2399,060730203121,203121.0
2493,060730022011,22011.0
2495,060730185043,185043.0
2520,060730170711,170711.0
2531,060730144002,144002.0
2537,060730185221,185221.0
2614,060730093072,93072.0
2621,060730221011,221011.0
2622,060730012021,12021.0
2624,060730053013,53013.0
2631,060730093081,93081.0
2648,060730054022,54022.0
2654,060730068022,68022.0
2686,060730162013,162013.0
2692,060730083571,83571.0
2697,060730056022,56022.0
2707,060730065003,65003.0
2708,060730003021,3021.0
2709,060730176051,176051.0
2710,060730200172,200172.0
2724,060730170561,170561.0
2725,060730100172,100172.0
2728,060730185161,185161.0
2733,060730079082,79082.0
2739,060730146013,146013.0
2740,060730059001,59001.0
2749,060730089021,89021.0
2751,060730033042,33042.0
2755,060730050001,50001.0
2757,060730116011,116011.0
2758,060730056022,56022.0
2761,060730218001,218001.0
2782,060730099021,99021.0
2783,060730007001,7001.0
2791,060730052011,52011.0
2837,060730097061,97061.0
2840,060730093064,93064.0
2854,060730221012,221012.0
2855,060730132051,132051.0
2860,060730166171,166171.0
2879,060730170461,170461.0
2909,060730170711,170711.0
2958,060730106011,106011.0
3001,060730134202,134202.0
3023,060730185151,185151.0
3042,060730053012,53012.0
3047,060730170561,170561.0
3068,060730085112,85112.0
3070,060730113001,113001.0
3080,060730068011,68011.0
3081,060730053021,53021.0
3082,060730085112,85112.0
3083,060730095021,95021.0
3088,060730099011,99011.0
3147,060730066002,66002.0
3161,060730134232,134232.0
3166,060730081021,81021.0
3174,060730083501,83501.0
3181,060730221012,221012.0
3189,060730162022,162022.0
3196,060730203131,203131.0
3198,060730083552,83552.0
3199,060730203052,203052.0
3200,060730185045,185045.0
3212,060730100152,100152.0
3224,060730173071,173071.0
3244,060730093071,93071.0
3250,060730079081,79081.0
3257,060730004001,4001.0
3261,060730170561,170561.0
3262,060730170181,170181.0
3263,060730029042,29042.0
3265,060730076021,76021.0
3266,060730065002,65002.0
3280,060730170472,170472.0
3283,060730083501,83501.0
3285,060730197011,197011.0
3290,060730054023,54023.0
3315,060730081012,81012.0
3356,060730191051,191051.0
3372,060730172021,172021.0
3377,060730200294,200294.0
3378,060730162022,162022.0
3409,060730013012,13012.0
3428,060730024012,24012.0
3444,060730105011,105011.0
3449,060730054021,54021.0
3451,060730079121,79121.0
3454,060730096043,96043.0
3473,060730170492,170492.0
3475,060730202142,202142.0
3489,060730083124,83124.0
3505,060730024012,24012.0
3517,060730105011,105011.0
3520,060730054021,54021.0
3521,060730079121,79121.0
3527,060730096034,96034.0
3528,060730096043,96043.0
3547,060730170492,170492.0
3549,060730202142,202142.0
3552,060730166074,166074.0
3557,060730185042,185042.0
3588,060730072001,72001.0
3602,060730200294,200294.0
3605,060730162021,162021.0
3632,060730083462,83462.0
3643,060730092031,92031.0
3644,060730137011,137011.0
3647,060730162021,162021.0
3664,060730060002,60002.0
3668,060730200294,200294.0
3672,060730054021,54021.0
3687,060730033032,33032.0
3692,060730093074,93074.0
3714,060730159021,159021.0
3720,060730048002,48002.0
3742,060730185223,185223.0
3749,060730079101,79101.0
3791,060730214013,214013.0
3795,060730071003,71003.0
3799,060730083391,83391.0
3806,060730027022,27022.0
3808,060730133211,133211.0
3815,060730166171,166171.0
3845,060730089022,89022.0
3851,060730065002,65002.0
3864,060730085113,85113.0
3874,060730010001,10001.0
3877,060730127001,127001.0
3878,060730083241,83241.0
3916,060730208012,208012.0
3922,060730082021,82021.0
3931,060730202141,202141.0
3941,060730097033,97033.0
3945,060730022011,22011.0
3966,060730099021,99021.0
3968,060730170561,170561.0
3971,060730177023,177023.0
3977,060730170492,170492.0
3982,060730053013,53013.0
3985,060730023012,23012.0
3995,060730202143,202143.0
4017,060730162021,162021.0
4019,060730171081,171081.0
4042,060730002012,2012.0
4052,060730054011,54011.0
4054,060730166152,166152.0
4056,060730094001,94001.0
4057,060730068021,68021.0
4087,060730015004,15004.0
4098,060730083762,83762.0
4105,060730093055,93055.0
4128,060730013012,13012.0
4151,060730083762,83762.0
4183,060730083051,83051.0
4200,060730034012,34012.0
4235,060730011001,11001.0
4244,060730076012,76012.0
4249,060730023021,23021.0
4258,,121021.0
4290,060730100182,100182.0
4316,060730083391,83391.0
4331,,109002.0
4337,060730085113,85113.0
4364,060730133192,133192.0
4370,060730178111,178111.0
4380,060730221012,221012.0
4388,060730085013,85013.0
4391,060730200422,200422.0
4435,060730145001,145001.0
4474,060730203132,203132.0
4486,060730082011,82011.0
4512,060730198031,198031.0
4539,060730170711,170711.0
4572,060730006003,6003.0
4574,060730185173,185173.0
4577,060730170502,170502.0
4581,060730029042,29042.0
4595,060730054011,54011.0
4604,060730083782,83782.0
4632,060730083602,83602.0
4644,060730085112,85112.0
4657,060730124021,124021.0
4661,060730126004,126004.0
4680,060730093072,93072.0
4693,060730150022,150022.0
4719,060730170226,170226.0
4739,060730083671,83671.0
4749,060730095041,95041.0
4757,060730150022,150022.0
4788,060730198091,198091.0
4790,060730065001,65001.0
4793,060730131021,131021.0
4794,060730133241,133241.0
4800,060730170672,170672.0
4806,060730131032,131032.0
4808,060730083501,83501.0
4810,060730083721,83721.0
4836,060730175023,175023.0
4841,060730100152,100152.0
4852,060730058011,58011.0
4860,060730083052,83052.0
4862,060730204041,204041.0
4874,060730134213,134213.0
4891,060730085111,85111.0
4913,060730149022,149022.0
4914,060730009021,9021.0
4926,060730082011,82011.0
4934,060730207072,207072.0
4937,060730146013,146013.0
4941,060730207111,207111.0
4942,060730207111,207111.0
4963,,117002.0
4965,060730054012,54012.0
4966,060730083492,83492.0
4973,060730185182,185182.0
4977,060730081012,81012.0
4980,060730085112,85112.0
5025,060730202143,202143.0
5036,060730034013,34013.0
5049,060730198081,198081.0
5066,060730174071,174071.0
5072,060730076012,76012.0
5081,060730083462,83462.0
5107,060730083391,83391.0
5111,060730027102,27102.0
5113,060730079113,79113.0
5123,060730085112,85112.0
5130,060730031122,31122.0
5138,060730056022,56022.0
5151,060730124023,124023.0
5179,060730100152,100152.0
5180,060730214022,214022.0
5189,060730083591,83591.0
5196,060730176013,176013.0
5211,060730085033,85033.0
5212,060730085033,85033.0
5230,060730083592,83592.0
5247,060730083391,83391.0
5250,060730073041,73041.0
5275,060730085113,85113.0
5290,060730043001,43001.0
5291,060730221024,221024.0
5307,060730083391,83391.0
5309,060730085112,85112.0
5322,060730166141,166141.0
5359,060730207072,207072.0
5371,060730162021,162021.0
5375,060730085112,85112.0
5383,060730158012,158012.0
5394,060730133072,133072.0
5471,060730100152,100152.0
5478,060730176012,176012.0
5502,060730198051,198051.0
5514,,120032.0
5526,060730065001,65001.0
5567,060730185102,185102.0
5573,060730091012,91012.0
5598,060730150011,150011.0
5603,060730202102,202102.0
5614,060730162021,162021.0
5615,060730154031,154031.0
5640,060730198031,198031.0
5663,060730085111,85111.0
5672,060730174031,174031.0
5683,060730105011,105011.0
5712,060730083501,83501.0
5736,,109002.0
5760,060730083501,83501.0
5768,060730200172,200172.0
5775,060730085112,85112.0
5779,060730007002,7002.0
5791,060730174071,174071.0
5793,060730132051,132051.0
5823,060730065003,65003.0
5829,060730194032,194032.0
5834,060730132041,132041.0
5854,060730013012,13012.0
5859,060730062001,62001.0
5867,060730032041,32041.0
5875,060730031132,31132.0
5880,060730139072,139072.0
5883,060730083501,83501.0
5942,060730085073,85073.0
5944,060730065002,65002.0
5968,060730093074,93074.0
5971,060730202143,202143.0
5972,060730083391,83391.0
6006,060730170431,170431.0
6007,060730170672,170672.0
6009,060730085112,85112.0
6018,060730178083,178083.0
6034,060730054021,54021.0
6074,060730053021,53021.0
6079,060730089021,89021.0
6084,060730083501,83501.0
6102,060730089021,89021.0
6118,060730083692,83692.0
6127,060730085025,85025.0
6135,060730096021,96021.0
6138,060730219001,219001.0
6146,060730201072,201072.0
6150,060730126001,126001.0
6161,060730085112,85112.0
6168,060730166142,166142.0
6181,060730101111,101111.0
6217,060730185223,185223.0
6221,060730085111,85111.0
6234,060730076013,76013.0
6245,060730053013,53013.0
6249,060730036012,36012.0
6250,060730097033,97033.0
6256,060730083691,83691.0
6265,060730150022,150022.0
6279,060730083793,83793.0
6287,060730162021,162021.0
6298,060730081013,81013.0
6299,060730166152,166152.0
6308,060730004003,4003.0
6310,060730029032,29032.0
6311,060730139032,139032.0
6319,060730207071,207071.0
6329,060730170544,170544.0
6338,060730085031,85031.0
6341,060730085111,85111.0
6373,060730083782,83782.0
6385,060730085044,85044.0
6391,060730133162,133162.0
6429,060730221024,221024.0
6515,060730170411,170411.0
6531,060730170702,170702.0
6552,060730173081,173081.0
6563,060730170394,170394.0
6582,060730079051,79051.0
6583,060730170544,170544.0
6611,060730083501,83501.0
6638,060730091072,91072.0
6642,060730085112,85112.0
6647,060730184003,184003.0
6658,060730083501,83501.0
6659,060730054011,54011.0
6664,060730184003,184003.0
6669,060730092011,92011.0
6706,060730100161,100161.0
6729,060730166173,166173.0
6748,060730093071,93071.0
6753,060730170502,170502.0
6761,060730193052,193052.0
6781,060730150012,150012.0
6796,060730074022,74022.0
6799,060730201052,201052.0
6804,060730170561,170561.0
6857,060730185173,185173.0
6877,060730132031,132031.0
6935,060730095021,95021.0
6938,060730083391,83391.0
6943,060730054012,54012.0
6948,060730208133,208133.0
6952,060730053021,53021.0
6959,060730093071,93071.0
6993,060730071003,71003.0
7005,060730023012,23012.0
7016,060730094001,94001.0
7017,060730065001,65001.0
7035,060730100152,100152.0
7055,060730162021,162021.0
7065,060730159024,159024.0
7074,060730116011,116011.0
7080,060730185152,185152.0
7081,060730083243,83243.0
7084,060730083462,83462.0
7114,060730200293,200293.0
7123,060730203131,203131.0
7137,060730159022,159022.0
7163,060730062001,62001.0
7164,060730082012,82012.0
7166,060730085112,85112.0
7170,060730171081,171081.0
7172,060730184003,184003.0
7197,060730093083,93083.0
7210,060730085112,85112.0
7227,060730203131,203131.0
7265,060730082012,82012.0
7266,060730020012,20012.0
7287,060730148033,148033.0
7297,060730170226,170226.0
7306,060730202091,202091.0
7314,060730053012,53012.0
7364,060730085074,85074.0
7388,060730163012,163012.0
7396,060730173061,173061.0
7398,060730170622,170622.0
7423,060730173072,173072.0
7437,060730089022,89022.0
7444,060730089021,89021.0
7447,,117001.0
7484,060730178132,178132.0
7498,060730096034,96034.0
7504,060730162022,162022.0
7513,060730027034,27034.0
7517,060730198031,198031.0
7525,060730170711,170711.0
7531,060730221012,221012.0
7532,060730003021,3021.0
7571,060730220002,220002.0
7576,060730183022,183022.0
7586,060730206012,206012.0
7604,060730186013,186013.0
7624,060730162021,162021.0
7630,060730124012,124012.0
7675,060730027092,27092.0
7682,060730085112,85112.0
7689,060730133062,133062.0
7691,060730206021,206021.0
7692,060730200372,200372.0
7704,060730148041,148041.0
7735,060730198101,198101.0
7740,060730053012,53012.0
7744,060730013012,13012.0
7745,060730008002,8002.0
7752,060730133192,133192.0
7772,060730093064,93064.0
7786,060730173071,173071.0
7797,060730027081,27081.0
7808,060730176061,176061.0
7815,060730083582,83582.0
7831,060730170492,170492.0
7857,060730200293,200293.0
7877,060730203101,203101.0
7895,060730083602,83602.0
7928,060730162021,162021.0
7933,060730033012,33012.0
7940,060730083391,83391.0
7959,060730198051,198051.0
7974,060730065003,65003.0
7975,060730097065,97065.0
8006,060730009023,9023.0
8039,060730202142,202142.0
8090,060730171081,171081.0
8121,060730131031,131031.0
8126,060730068021,68021.0
8135,060730200294,200294.0
8138,060730203052,203052.0
8144,060730011001,11001.0
8149,060730087022,87022.0
8157,060730016002,16002.0
8231,060730127001,127001.0
8233,060730200294,200294.0
8277,060730080031,80031.0
8282,060730166211,166211.0
8302,060730173071,173071.0
8303,060730170711,170711.0
8309,060730083391,83391.0
8323,060730201053,201053.0
8337,060730054011,54011.0
8341,060730085112,85112.0
8343,060730085112,85112.0
8399,060730202112,202112.0
8423,060730083732,83732.0
8432,060730170502,170502.0
8437,060730218001,218001.0
8484,060730148031,148031.0
8508,060730221012,221012.0
8523,060730158012,158012.0
8533,060730089021,89021.0
8536,060730185041,185041.0
8609,060730093074,93074.0
8617,060730083711,83711.0
8622,060730144002,144002.0
8638,060730150022,150022.0
8659,060730093083,93083.0
8705,060730093074,93074.0
8711,060730095091,95091.0
8714,060730029022,29022.0
8719,060730126003,126003.0
8727,060730082022,82022.0
8746,060730166074,166074.0
8765,060730200294,200294.0
8766,,111002.0
8786,060730071001,71001.0
8828,060730176061,176061.0
8839,060730177015,177015.0
8841,060730101061,101061.0
8859,060730096034,96034.0
8860,060730166172,166172.0
8863,060730175012,175012.0
8866,060730202143,202143.0
8868,060730032041,32041.0
8877,060730004001,4001.0
8887,060730204031,204031.0
8910,060730130001,130001.0
8988,060730200262,200262.0
8993,060730178132,178132.0
9008,060730101121,101121.0
9070,060730083762,83762.0
9075,060730200172,200172.0
9089,060730170711,170711.0
9093,060730033042,33042.0
9094,060730053012,53012.0
9099,060730208063,208063.0
9102,060730198111,198111.0
9114,060730151004,151004.0
9122,060730051032,51032.0
