id,city
5,Vista
24,San Diego
48,Del Mar
49,San Diego
50,Solana Beach
75,San Diego
104,Oceanside
150,El Cajon
152,Oceanside
156,Carlsbad
180,San Diego
236,San Diego
237,San Diego
238,San Diego
253,San Diego
274,San Diego
289,San Diego
296,San Diego
324,San Diego
344,San Diego
345,San Diego
410,Carlsbad
419,San Diego
434,San Diego
467,San Diego
473,San Diego
483,San Diego
487,Oceanside
497,San Diego
502,Lemon Grove
504,Lemon Grove
522,San Diego
536,Coronado
543,Coronado
561,Poway
572,Rancho Santa Fe
574,Carlsbad
576,Chula Vista
601,San Diego
608,San Diego
611,Oceanside
619,San Diego
625,San Diego
627,San Diego
641,Del Mar
649,San Diego
681,San Diego
699,Escondido
713,San Diego
718,San Diego
736,San Diego
737,La Jolla
755,San Diego
799,Vista
825,Carlsbad
836,Carlsbad
876,San Diego
885,San Diego
891,San Diego
923,La Jolla
971,San Diego
985,Chula Vista
991,Chula Vista
1016,San Diego
1023,Spring Valley
1024,La Mesa
1041,San Diego
1042,Chula Vista
1043,San Diego
1049,San Diego
1051,San Diego
1063,San Diego
1073,San Marcos
1076,Carlsbad
1088,San Diego
1125,San Diego
1152,San Diego
1153,Spring Valley
1155,San Diego
1172,Santee
1176,San Marcos
1180,San Diego
1185,Escondido
1191,Lemon Grove
1208,Santee
1223,San Diego
1230,San Diego
1236,Poway
1239,San Diego
1265,San Diego
1274,Vista
1324,San Diego
1325,San Diego
1327,San Diego
1332,San Diego
1342,San Diego
1343,San Diego
1357,San Diego
1358,San Diego
1364,Carlsbad
1367,San Diego
1373,Encinitas
1403,San Diego
1406,Escondido
1408,San Diego
1415,San Diego
1428,San Diego
1475,San Diego
1491,Poway
1525,Carlsbad
1536,San Diego
1555,San Diego
1567,National City
1579,San Diego
1581,Encinitas
1591,Escondido
1600,San Diego
1605,Encinitas
1637,Escondido
1641,Carlsbad
1642,El Cajon
1646,Del Mar
1652,San Diego
1676,Escondido
1696,Chula Vista
1733,San Diego
1745,San Diego
1788,San Diego
1842,Santee
1903,San Diego
1906,Carlsbad
1995,San Diego
2003,San Diego
2008,San Diego
2010,San Diego
2016,San Diego
2017,Poway
2027,San Diego
2039,Santee
2042,San Diego
2054,Oceanside
2059,San Diego
2077,San Diego
2080,La Mesa
2098,San Diego
2104,San Diego
2114,Santee
2118,Escondido
2132,San Diego
2136,San Diego
2174,Chula Vista
2176,San Diego
2194,San Diego
2213,San Diego
2238,San Diego
2259,Carlsbad
2263,San Diego
2267,San Diego
2283,San Marcos
2291,San Diego
2319,La Jolla
2328,San Diego
2349,San Diego
2369,San Diego
2374,San Diego
2390,San Diego
2396,Carlsbad
2399,Escondido
2493,San Diego
2495,Oceanside
2520,San Diego
2531,Lemon Grove
2537,Oceanside
2614,San Diego
2621,Carlsbad
2622,San Diego
2624,San Diego
2631,San Diego
2648,San Diego
2654,San Diego
2686,El Cajon
2692,San Diego
2697,San Diego
2707,San Diego
2708,San Diego
2709,Encinitas
2710,Vista
2724,San Diego
2725,San Diego
2728,Oceanside
2733,San Diego
2739,La Mesa
2740,San Diego
2749,San Diego
2751,San Diego
