category,likelihood
all restaurants,0.95
Food and beverage distributors,0.93
Dried seafood store,0.93
Food and beverage exporter,0.93
Food and beverage consultant,0.93
Food bank,0.93
Food broker,0.93
Food court,0.93
Food and drink,0.93
Art cafe,0.93
Food,0.93
Cosplay cafe,0.93
Tea and coffee merchant,0.93
Ethnic foods,0.93
Staple food package,0.93
Dog cafe,0.93
Food machinery supplier,0.93
Food delivery,0.93
Catering food and drink supplier,0.93
Food manufacturer,0.93
Cafeteria,0.93
Organic food store,0.93
Pet food and animal feeds,0.93
Pizza,0.93
Japanese food,0.93
Internet cafe,0.93
Health food store,0.93
Cafe,0.93
Seafood,0.93
Seafood farm,0.93
Frozen food store,0.93
Food manufacturing supply,0.93
Frozen food manufacturer,0.93
Fresh food market,0.93
Seafood wholesaler,0.93
Food store,0.93
Vegetarian cafe and deli,0.93
Food seasoning manufacturer,0.93
Food products supplier,0.93
Food products,0.93
Food production,0.93
Food producer,0.93
Food processing equipment,0.93
Food processing company,0.93
Food service,0.93
Seafood market,0.93
Coffee stand,0.93
Comic cafe,0.93
Wholesale food store,0.93
Coffee wholesaler,0.93
Chocolate cafe,0.93
Chinese food,0.93
Coffee store,0.93
Coffee vending machine,0.93
Childrens cafe,0.93
Coffee shop,0.93
Coffee roasters,0.93
Coffee machine supplier,0.93
Coffee,0.93
Juice shop,0.9
Gay bar,0.88
Wine bar,0.88
Barbecue area,0.88
Tapas bar,0.88
Cabaret club,0.88
Salsa bar,0.88
Espresso bar,0.88
Gym,0.88
Rock climbing gym,0.88
Clergyman,0.88
Gymnastics center,0.88
Gymnastics club,0.88
Gymnasium school,0.88
Fitness center,0.88
Barber school,0.88
Fitness equipment wholesaler,0.88
Eyebrow bar,0.88
Bark supplier,0.88
Snack bar,0.88
Sports bar,0.88
Bariatric surgeon,0.88
Bar & grill,0.88
Stand bar,0.88
Barber supply store,0.88
Military barracks,0.88
Barn,0.88
Barrel supplier,0.88
Barrister,0.88
Subaru dealer,0.88
Bar stool supplier,0.88
Barber shop,0.88
Cocktail bar,0.88
Bartending school,0.88
Dart bar,0.88
Cider bar,0.88
Muay Thai boxing gym,0.88
Karaoke bar,0.88
Live music bar,0.88
Hookah bar,0.88
Piano bar,0.88
Physical fitness program,0.88
Boxing gym,0.88
Tiki bar,0.88
Pre gymnasium school,0.88
Poke bar,0.88
Ice cream shop,0.88
Ice cream equipment supplier,0.88
Bar,0.88
Auto glass shop,0.87
Skin care clinic,0.87
Auto insurance agency,0.87
Auto upholsterer,0.87
Auto part and accessory manufacturer,0.87
Self service car wash,0.87
Child health care centre,0.87
Chess and card club,0.87
Skin care,0.87
Auto electrical service,0.87
Auto parts manufacturer,0.87
Pregnancy care center,0.87
Child care agency,0.87
Race car dealer,0.87
Auto painting,0.87
Model car play area,0.87
Auto window tinting service,0.87
Cash and carry wholesaler,0.87
Automotive,0.87
Eye care,0.87
Eye care center,0.87
Automobile storage facility,0.87
Automation company,0.87
Car wash,0.87
Smart Car dealer,0.87
Auto market,0.87
Family day care service,0.87
Skin care products vending machine,0.87
Auto machine shop,0.87
Lawn care service,0.87
Pediatric cardiologist,0.87
Auto tune up service,0.87
Auto body parts supplier,0.87
Greeting card shop,0.87
Grill,0.87
Grill store,0.87
Pet care service,0.87
Auto broker,0.87
Auto bodywork mechanic,0.87
Auto body shop,0.87
Auto repair shop,0.87
Auto tag agency,0.87
Auto radiator repair service,0.87
Pet care,0.87
Auto parts market,0.87
Auto accessories wholesaler,0.87
Auto air conditioning service,0.87
Auto parts store,0.87
Auto auction,0.87
Business card design and printing service,0.87
Golf cart dealer,0.87
Cable car station,0.87
Home automation company,0.87
Part time daycare,0.87
Racing car parts store,0.87
Auto dent removal service,0.87
Cars,0.87
Auto chemistry shop,0.87
Car security system installer,0.87
Car sharing location,0.87
Auto spring shop,0.87
Foot care,0.87
Horse carriage station,0.87
Foster care service,0.87
Home health care service,0.87
